id,full_name,kibbutz_name,playground_name,playground_number,site_number,Permit_number,category,subcategory,coordinate,lat,lon,link_waze,link_gmaps,equipment,equipment_number,surface,last_update_iso,status,certificate_expiry,certificate_expiry_iso,days_to_expire,kibbutz_list,,,,,,,
PG-034,"שצ""פ 29 ליד כדורסל מחניים",מחניים,ליד כדורסל,29,6504454,113702,גן ציבורי,"שצ""פ","32.9877603, 35.5702328",32.9877603,35.5702328,"https://waze.com/ul?ll=32.987760,35.570233&navigate=yes","https://www.google.com/maps?q=32.987760,35.570233"," חצובה מתכת עם מושב קן לציפור מכבלים, מושבים שטוחים ומושב עריסה, משולב ממתכת בעל 3 מגדלים, שני מתקני נענוע קפיץ ספירלי, נענוע קפיצים מתכת בצורת אופנוע וסירה, עלה ורד, קורת שיווי משקל מתכת בצורת זיגזג, קרוסלה עגולה,  מתח , משולב ממתכת בעל 2 מגדלים ",13,"דשא, חצץ",2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-035,"שצ""פ 30 הרחבה מחניים",מחניים,הרחבה,30,5055415,113702,גן ציבורי,"שצ""פ","32.9892569, 35.5747189",32.9892569,35.5747189,"https://waze.com/ul?ll=32.989257,35.574719&navigate=yes","https://www.google.com/maps?q=32.989257,35.574719","משולב ממתכת בעל מגדל אחד, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, משולב ממתכת בעל מגדל אחד ",6,חצץ,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-036,"שצ""פ 71 קק""ל מלכיה",מלכיה,קקל,71,5461170,113702,גן ציבורי,"שצ""פ","33.1010146, 35.5139271",33.1010146,35.5139271,"https://waze.com/ul?ll=33.101015,35.513927&navigate=yes","https://www.google.com/maps?q=33.101015,35.513927","חצובת רב נדנדות, חצובת נדנדה עם מושבי עריסה מגומי, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, קרוסלה בעמידה, משולב מעץ בעל מגדל אחד, מתקן עלה ורד 4 מושבים מעץ, משולב מעץ בעל מגדל אחד ",10,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-037,"שצ""פ 31 זלמן מלכיה",מלכיה,זלמן,31,9626098,113702,גן ציבורי,"שצ""פ","33.0992186, 35.5117112",33.0992186,35.5117112,"https://waze.com/ul?ll=33.099219,35.511711&navigate=yes","https://www.google.com/maps?q=33.099219,35.511711"," משולב בקתת יער, משולב נגיש, נדנדה, עלה ורד זברה, נענוע קפיץ חיפושית, נענוע קפיץ דבורה",7,גומי,2025-10-26,גן תקין,17/02/2026,2026-02-17,104,,,,,,,,
PG-038,"שצ""פ 33 חדר אוכל מנרה",מנרה,חדר אוכל,33,8332215,113702,גן ציבורי,"שצ""פ","33.1963258, 35.5439677",33.1963258,35.5439677,"https://waze.com/ul?ll=33.196326,35.543968&navigate=yes","https://www.google.com/maps?q=33.196326,35.543968","חצובת נדנדה עם מושבים שטוחים מגומי, עלה ורד, נענוע קפיץ ספירלי, משולב מעץ בעל 3 מגדלים ",6,חצץ,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-039,"שצ""פ 73 חורשת הרכבת מנרה",מנרה,חורשת הרכבת,73,6618427,113702,גן ציבורי,"שצ""פ","33.1961659, 35.5440688",33.1961659,35.5440688,"https://waze.com/ul?ll=33.196166,35.544069&navigate=yes","https://www.google.com/maps?q=33.196166,35.544069","משולב ממתכת בעל מגדל אחד, קרוסלה עגולה, משולב ממתכת בעל 2 מגדלים, חצובת נדנדות עם מושבים שטוחים מגומי ומושב קן לציפור",6,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-040,"שצ""פ 34 מרכז הקיבוץ מעיין ברוך",מעיין ברוך,מרכז הקיבוץ,34,1708545,113702,גן ציבורי,"שצ""פ","33.241178, 35.608666",33.241178,35.608666,"https://waze.com/ul?ll=33.241178,35.608666&navigate=yes","https://www.google.com/maps?q=33.241178,35.608666","חצובת נדנדות עם מושבים שטוחים מגומי, 2 מושבי קן לציפור, קן נשרים מכבלים, קרוסלה עגולה, נדנדת חבל סוס, נדנדה ערסל מכבלים, אומגה, מתקן מעץ לשיווי משקל 3 גבהים, משולב מעץ בעל 2 מגדלים",10,"דשא,חצץ",2025-10-26,גן תקין,23/12/2025,2025-12-23,48,,,,,,,,
PG-041,"שצ""פ 36 הרחבה מעיין ברוך",מעיין ברוך,הרחבה,36,1290625,113702,גן ציבורי,"שצ""פ","33.239054, 35.6055468",33.239054,35.6055468,"https://waze.com/ul?ll=33.239054,35.605547&navigate=yes","https://www.google.com/maps?q=33.239054,35.605547","עלה ורד, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, קרוסלה עגולה, קרוסלה לפעוטות, טיפוס משושה ממתכת",5,חצץ,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,,,,,,,,
PG-059,"שצ""פ 35 בריכת שחייה מעיין ברוך",מעיין ברוך,בריכת שחייה,35,1358735,113702,גן ציבורי,"שצ""פ","33.2390965, 35.6059393",33.2390965,35.6059393,"https://waze.com/ul?ll=33.239097,35.605939&navigate=yes","https://www.google.com/maps?q=33.239097,35.605939","חצובת נדנדות משושה עם מושבים שטוחים מגומי ומושבי עריסה מגומי, משולב ממתכת בעל 3 מגדלים, מתקן מתח ממתכת",8,חצץ,2025-10-26,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-042,"שצ""פ 37 תמר משגב עם",משגב עם,תמר,37,7874709,113702,גן ציבורי,"שצ""פ","33.2475254, 35.5484034",33.2475254,35.5484034,"https://waze.com/ul?ll=33.247525,35.548403&navigate=yes","https://www.google.com/maps?q=33.247525,35.548403","משולב תחנת כבאות, קרוסלת הדר, כלניות, עלה ורד עמידה, נדנדות",7,גומי,2025-10-26,גן תקין,24/12/2025,2025-12-24,49,,,,,,,,
